date,temp,tempv,waterD,state,waterA,waterAv,illum,illumv
2015.08.17 09:00,Temp,16.5,WaiterD,Safe,WaiterA,354,illum,2860
2015.08.17 09:05,Temp,16.5,WaiterD,Safe,WaiterA,353,illum,2849
2015.08.17 09:10,Temp,16.2,WaiterD,Safe,WaiterA,354,illum,2838
2015.08.17 09:15,Temp,16.3,WaiterD,Safe,WaiterA,354,illum,2860
2015.08.17 09:20,Temp,16.3,WaiterD,Safe,WaiterA,354,illum,2849
2015.08.17 09:25,Temp,16.5,WaiterD,Safe,WaiterA,354,illum,2838
2015.08.17 09:30,Temp,16.5,WaiterD,Safe,WaiterA,354,illum,2849
2015.08.17 09:35,Temp,16.2,WaiterD,Safe,WaiterA,355,illum,2860
2015.08.17 09:40,Temp,16.3,WaiterD,Safe,WaiterA,354,illum,2860
2015.08.17 09:45,Temp,16.5,WaiterD,Safe,WaiterA,353,illum,2860
2015.08.17 09:50,Temp,16.5,WaiterD,Safe,WaiterA,353,illum,2816
2015.08.17 09:55,Temp,16.3,WaiterD,Safe,WaiterA,353,illum,2849
2015.08.17 10:00,Temp,16.3,WaiterD,Safe,WaiterA,353,illum,2827
2015.08.17 10:05,Temp,16.3,WaiterD,Safe,WaiterA,353,illum,2849
2015.08.17 10:10,Temp,16.5,WaiterD,Safe,WaiterA,352,illum,2860
2015.08.17 10:15,Temp,16.8,WaiterD,Safe,WaiterA,352,illum,2849
2015.08.17 10:20,Temp,16.7,WaiterD,Safe,WaiterA,351,illum,2849
2015.08.17 10:25,Temp,16.7,WaiterD,Safe,WaiterA,351,illum,2860
2015.08.17 10:30,Temp,16.8,WaiterD,Safe,WaiterA,352,illum,2871
2015.08.17 10:35,Temp,16.7,WaiterD,Safe,WaiterA,352,illum,2838
2015.08.17 10:40,Temp,16.8,WaiterD,Safe,WaiterA,351,illum,2827
2015.08.17 10:45,Temp,16.7,WaiterD,Safe,WaiterA,351,illum,2816
2015.08.17 10:50,Temp,16.5,WaiterD,Safe,WaiterA,351,illum,2849
2015.08.17 10:55,Temp,16.7,WaiterD,Safe,WaiterA,351,illum,2838
2015.08.17 11:00,Temp,16.7,WaiterD,Safe,WaiterA,337,illum,2838
2015.08.17 11:05,Temp,16.7,WaiterD,Safe,WaiterA,352,illum,2838
2015.08.17 11:10,Temp,16.7,WaiterD,Safe,WaiterA,352,illum,2816
2015.08.17 11:15,Temp,16.7,WaiterD,Safe,WaiterA,351,illum,2849
2015.08.17 11:20,Temp,16.8,WaiterD,Safe,WaiterA,352,illum,2816
2015.08.17 11:25,Temp,16.8,WaiterD,Safe,WaiterA,351,illum,2827
2015.08.17 11:30,Temp,16.7,WaiterD,Safe,WaiterA,349,illum,2827
2015.08.17 11:35,Temp,16.7,WaiterD,Safe,WaiterA,351,illum,2849
2015.08.17 11:40,Temp,16.8,WaiterD,Safe,WaiterA,351,illum,2827
2015.08.17 11:45,Temp,16.8,WaiterD,Safe,WaiterA,351,illum,2838
2015.08.17 11:50,Temp,16.8,WaiterD,Safe,WaiterA,350,illum,2827
2015.08.17 11:55,Temp,16.7,WaiterD,Safe,WaiterA,350,illum,2827
2015.08.17 12:00,Temp,16.7,WaiterD,Safe,WaiterA,350,illum,2849
2015.08.17 12:05,Temp,16.8,WaiterD,Safe,WaiterA,350,illum,2838
2015.08.17 12:10,Temp,16.8,WaiterD,Safe,WaiterA,350,illum,2827
2015.08.17 12:15,Temp,16.7,WaiterD,Safe,WaiterA,350,illum,2827
2015.08.17 12:20,Temp,16.7,WaiterD,Safe,WaiterA,349,illum,2838
2015.08.17 12:25,Temp,16.8,WaiterD,Safe,WaiterA,350,illum,2838
2015.08.17 12:30,Temp,16.8,WaiterD,Safe,WaiterA,349,illum,2827
2015.08.17 12:35,Temp,16.8,WaiterD,Safe,WaiterA,349,illum,2838
2015.08.17 12:40,Temp,16.7,WaiterD,Safe,WaiterA,350,illum,2849
